"ID","Group","Group Type","Discovery","Exit Date","Country","Source","TTPS","TTPS.1","TTPS.2","TTPS.3","TTPS.4","TTPS.5","TTPS.6","TTPS.7","TTPS.8","TTPS.9","TTPS.10","TTPS.11","TTPS.12","TTPS.13","TTPS.14","TTPS.15","TTPS.16","TTPS.17","TTPS.18","TTPS.19","TTPS.20","TTPS.21","TTPS.22","TTPS.23","TTPS.24","TTPS.25","TTPS.26","TTPS.27","TTPS.28","TTPS.29","TTPS.30","TTPS.31","TTPS.32","TTPS.33","TTPS.34","TTPS.35","TTPS.36","TTPS.37","TTPS.38","TTPS.39","TTPS.40","TTPS.41","TTPS.42","TTPS.43","TTPS.44","TTPS.45","TTPS.46","TTPS.47","TTPS.48","TTPS.49","TTPS.50","TTPS.51","TTPS.52","TTPS.53","TTPS.54","TTPS.55","TTPS.56","TTPS.57","TTPS.58","TTPS.59","TTPS.60","TTPS.61","TTPS.62","TTPS.63","TTPS.64","TTPS.65","TTPS.66","TTPS.67","TTPS.68","TTPS.69","TTPS.70","TTPS.71","TTPS.72","TTPS.73","TTPS.74","TTPS.75","TTPS.76","TTPS.77","TTPS.78","TTPS.79","TTPS.80","TTPS.81","TTPS.82","TTPS.83","TTPS.84","TTPS.85","TTPS.86","TTPS.87","TTPS.88"
11,"avaddon","Crypto-Ransomware, RaaS",2019,2021,"Russia",NA,"T1021","T1133","T1595","T1190","T1498","T1035","T1003","T1046","T1098","T1485","T1486","T1112","T1083","T1016","T1120","T1060","T1055.012","T1043","T1059","T1490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"avoslocker","Crypto-Ransomware,RaaS",2021,2023,"Russia",NA,"T1547","T1547.001","T1486","T1140","T1083","T1564","T1564.003","T1562","T1562.009","T1036","T1036.008","T1106","T1135","T1027","T1027.007","T1057","T1489","T1529","T1124","T1572","T1505.003","T1555","T1133","T1059.003","T1059.001","T1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"azroteam",NA,2020,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"babuk","Crypto-Ransomware",2021,2021,"Russia",NA,"T1059","T1486","T1140","T1083","T1562","T1562.001","T1490","T1106","T1135","T1027","T1027.002","T1057","T1489","T1082","T1049","T1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"bianlian","Crypto-Ransomware",2022,NA,"China",NA,"TA0002","TA0005","TA0007","TA0008","TA0040","T1204","T1497","T1082","T1091","T1486","T1059","T1027.002","T1083","T1036","T1518.001","T1120","T1078","T1133","T1566","T1587.001","T1105","T1219","T1136.001","T1098","T1059.001","T1059.003","T1562.001","T1112","T1046","T1135","T1482","T1033","T1069.002","T1087.002","T1018","T1552.001","T1003.001","T1003.003","T1021.001","T1562.004","TT1012","T1115","T1048","T1537","T1567.002","T1053.005","T1012","T1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"blackbasta","Crypto-Ransomware,HumOR,RaaS",2022,NA,"Russia",NA,"T1566","T1078","T1036","T1068","T1059.001","T1562.001","T1486","T1490","T1190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"blackbyte","Crypto-Ransomware,RaaS",2021,NA,"Russia",NA,"T1598","T1190","T1053.005","T1134","T1140","T1222","T1562.001","T1083","T1069.002","T1570","T1560.001","T1567","T1071.001","T1486","T1489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"blackmatter","Crypto-Ransomware, RaaS",2021,2021,"Eastern Europe",NA,"T1566","T1204","T1082","T1497.003","T1490","T1489","T1486","T1057","T1003.001","T1567","T1021.002","T1561","T1007","T1133","T1018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"blackout","Crypto-Ransomware,Data Broker",2024,NA,"Russia",NA,"T1068","T1562.001","T1489","T1106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"blackshadow","Crypto-Ransomware",2021,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"blacksuit","Crypto-Ransomware",2023,NA,"Russia, Eastern Europe",NA,"T1566","T1566.001","T1566.002","T1190","T1105","T1572","T1021.001","T1133","T1078","T1562.001","T1484.001","T1486","T1078.002","T1119","T1070.001","T1650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"blacktor","Data Broker, RaaS",2020,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"bonacigroup",NA,2021,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"cactus",NA,2023,NA,"Russia",NA,"TA0001","TA0002","TA0003","TA0005","TA0006","TA0007","TA0008","TA0010","TA0011","TA0040","TA0042","T1190","T1053.005","T1136","T1562.001","T1555.003","T1049","T1021.004","T1567.002","T1219","T1486","T1538.008","T1072","T1027","T1003.001","T1087.002","T1021.001","T1090","T1027.002","T1018","T1570","T1087","T1059","T1047","T1129","T1574.002","T1053","T1055","T1036","T1497","T1564.001","T1562","T1056","T1555","T1003","T1082","T1518.001","T1057","T1083","T1021","T1119","T1071","T1095","T1571","T1573","T1567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"cheers","Crypto-Ransomware, Data Broker",2022,2022,"China",NA,"T1190","T1059.001","T1059.003","T1047","T1569.002","T1543.003","T1027.002","T1574.002","T1070.004","T1135","T1087.002","T1082","T1016","T1570","T1021.001","T1039","T1056.001","T1090","T1095","T1572","T1071.001","T1132.001","T1573","T1048","T1567.002","T1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"cicada3301","Data Broker",2024,NA,NA,NA,"T1082","T1059","T1489","T1486","T1078","T1016","T1047","T1562.001","T1622","T1490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"ciphbit","Crypto-Ransomware, Data Broker",2023,NA,NA,NA,"T1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"cloak","Crypto-Ransomware, RaaS",2023,NA,NA,NA,"T1091","T1059","T1129","T1569.002","T1047","T1547.001","T1543.003","T1134","T1222","T1070.004","T1036","T1112","T1027","T1027.005","T1083","T1135","T1120","T1057","T1012","T1518","T1518.001","T1091","T1080","T1560","T1486","T1490","T1489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"clop","Crypto-Ransomware, Data Broker",2019,NA,"Russia",NA,"TA0001","TA0002","TA0003","TA0004","TA0005","TA0007","TA0008","TA0009","TA0010","TA0011","TA0040","T1566.001","T1106","T1547","T1484.001","T1036.001","T1083","T1570","T1005","T1567","T1071","T1486","T1190","T1543.003","T1068","T1562.001","T1018","T1021.002","T1490","T1078","T1204","T1574","T1140","T1057","T1070.004","T1082","T1055.001","T1012","T1202","T1063","T1070.001","T1546.004","T1222.002","T1497","T1114","T1105","T1566","T1563.002","T1574.002","T1070","T1546.011","T1055","T1129","T1505.003","T1041","T1113","T1059.003","T1059.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"conti","Crypto-Ransomware, RaaS",2019,2022,"Russia",NA,"T1078","T1566.001","T1566.002","T1059.003","T1106","T1133","T1055.001","T1140","T1110","T1558.003","T1016","T1049","T1057","T1083","T1135","T1021.002","T1080","T1486","T1489","T1490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"crosslock","Crypto-Ransomware, HumOR",2023,2023,NA,NA,"T1497.001","T1490","T1548.002","T1486","T1112","T1070.001","T1518.001","T1053.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"cryptnet","Crypto-Ransomware,RaaS",2023,2023,NA,NA,"T1082","T1490","T1486","T1027","T1057","T1587.001","T1083","T1497.001","T1047","T1573.001","T1005","T1491.001","T1105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"cuba","Crypto-Ransomware, RaaS",2019,NA,"Russia",NA,"TA0001","TA0002","TA0005","TA0006","TA0007","TA0008","TA0011","T1133","T1106","T1036.005","T1212","T1124","T1570","T1078.003","T1204.002","T1068","T1021.002","T1135","T1333","T1090.003","T1059.001","T1018","T1071.004","T1059.003","T1083","T1071.001","T1569.002","T1057","T1016.001","T1219","T1078","T1190","T1566","T1072","T1562.001","T1563.002","T1003.001","T1558.003","T1090","T1584.001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"cyclops","Crypto-Ransomware,RaaS",2022,2023,NA,NA,"T1133","T1059.004","T1542.001","T1037.004","T1562.004","T1036.005","T1082","T1090","T1132.002","T1008","T1071.001","T1573.002","T1571","T1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"daixin",NA,2022,NA,"Russia",NA,"T1598.002","T1190","T1078","T1098","T1003","T1563.001","T1563.002","T1550.002","T1567","T1486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"dAn0n","Data Broker",2024,NA,NA,NA,"T1071.001","T1059.001","T1071.003","T1036.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"darkleakmarket","Crypto-Ransomware, RaaS",2022,2022,"Russia",NA,"T1071.001","T1064","T1059.003","T1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
